strategy,size,overlap,overlap_pct,n_chunks,avg_tokens,build_sec,hit@1,hit@3,hit@5,hit@10,hit@20,mrr,recall@3,recall@5,recall@10,recall@20,precision@5,ndcg@5,ndcg@10,latency
fixed,128,0,0,9038,123.0,0.1,0.5882,0.7353,0.7353,0.7941,0.8824,0.6601,0.7059,0.7059,0.7941,0.8676,0.2471,0.5757,0.6382,0.0159
fixed,128,16,12,10204,123.8,34.7,0.5294,0.7059,0.7353,0.7941,0.8824,0.6403,0.6765,0.7059,0.7647,0.8676,0.2471,0.5492,0.5949,0.0278
fixed,128,32,25,11730,124.7,32.4,0.5294,0.6765,0.7647,0.7941,0.8235,0.6238,0.6324,0.7353,0.7794,0.8235,0.2647,0.5307,0.5846,0.0147
fixed,128,64,50,17099,126.3,27.6,0.5882,0.6765,0.7353,0.7647,0.7941,0.6461,0.6471,0.7059,0.7353,0.7941,0.3,0.5141,0.5693,0.0146
