strategy,size,n_chunks,avg_tokens,build_sec,hit@1,hit@3,hit@5,hit@10,hit@20,mrr,recall@3,recall@5,recall@10,recall@20,precision@5,ndcg@5,ndcg@10,latency
fixed,128,9038,123.0,61.0,0.5882,0.7353,0.7353,0.7941,0.8824,0.6601,0.7059,0.7059,0.7941,0.8676,0.2471,0.5757,0.6382,0.0162
fixed,256,4771,232.8,8.9,0.5,0.7647,0.7647,0.7941,0.8235,0.6281,0.7206,0.7206,0.7794,0.8088,0.2235,0.612,0.6461,0.0144
fixed,512,2673,415.4,21.7,0.5294,0.7647,0.7647,0.8235,0.8529,0.6425,0.7059,0.7353,0.7941,0.8235,0.2176,0.6413,0.6687,0.0139
paragraph,128,10357,107.2,30.7,0.5882,0.7059,0.7353,0.7647,0.8529,0.663,0.6618,0.7059,0.7353,0.8529,0.2235,0.5599,0.6128,0.0152
paragraph,256,5124,216.6,9.1,0.4706,0.7353,0.7647,0.8529,0.8529,0.61,0.6765,0.7206,0.8235,0.8382,0.2176,0.5889,0.637,0.014
paragraph,512,2749,403.8,16.8,0.4118,0.7059,0.7353,0.7941,0.7941,0.5694,0.6471,0.7059,0.7647,0.7647,0.2176,0.5927,0.6268,0.0139
section,128,11448,95.2,31.7,0.5882,0.7059,0.7941,0.8235,0.8824,0.668,0.6618,0.75,0.7941,0.8824,0.2353,0.5859,0.6244,0.0138
section,256,6692,162.8,10.7,0.5,0.7353,0.7647,0.8235,0.8824,0.6349,0.6912,0.7206,0.8088,0.8824,0.1941,0.608,0.6356,0.0156
section,512,4923,221.3,9.8,0.4706,0.7059,0.7647,0.8235,0.8824,0.6064,0.6618,0.7206,0.8088,0.8824,0.1824,0.5994,0.6344,0.0156
