embedding,query_lang,n_chunks,avg_tokens,build_sec,hit@1,hit@3,hit@5,hit@10,hit@20,mrr,recall@3,recall@5,recall@10,recall@20,precision@5,ndcg@5,ndcg@10,latency
e5-small,ru,11448,95.2,0.1,0.5882,0.7059,0.7941,0.8235,0.8824,0.668,0.6618,0.75,0.7941,0.8824,0.2353,0.5859,0.6244,0.0145
e5-small,en,11448,95.2,0.1,0.4118,0.6765,0.7353,0.8235,0.8824,0.5595,0.6029,0.6765,0.7941,0.8529,0.2471,0.5128,0.5584,0.013
minilm,ru,11448,95.2,45.2,0.5,0.6765,0.7647,0.8235,0.8235,0.6061,0.6471,0.75,0.8088,0.8088,0.2471,0.53,0.5956,0.014
minilm,en,11448,95.2,0.1,0.6176,0.7941,0.7941,0.8235,0.8824,0.7054,0.7647,0.7647,0.8088,0.8529,0.2706,0.5941,0.6302,0.0147
e5-base,ru,11448,95.2,81.0,0.5882,0.7941,0.8235,0.8529,0.8824,0.6951,0.7647,0.7941,0.8529,0.8824,0.2706,0.6229,0.6769,0.0211
e5-base,en,11448,95.2,0.1,0.4706,0.7059,0.8235,0.9118,0.9118,0.6062,0.6324,0.7794,0.8676,0.8824,0.2706,0.5762,0.6155,0.0172
bge-m3,ru,11448,95.2,178.5,0.5882,0.8824,0.9118,0.9412,0.9706,0.7272,0.8235,0.8529,0.9118,0.9706,0.2941,0.6549,0.6996,0.0256
bge-m3,en,11448,95.2,0.1,0.5588,0.7941,0.8824,0.9412,1.0,0.7037,0.7647,0.8529,0.8971,1.0,0.2824,0.6635,0.6945,0.0222
