reranker,candidates_k,n_chunks,avg_tokens,build_sec,hit@1,hit@3,hit@5,hit@10,hit@20,mrr,recall@3,recall@5,recall@10,recall@20,precision@5,ndcg@5,ndcg@10,latency
none,20,11448,95.2,0.4,0.6765,0.7941,0.9118,0.9118,0.9118,0.7485,0.7647,0.8676,0.8676,0.8676,0.2824,0.7809,0.7809,0.0365
mminilm,10,11448,95.2,0.5,0.7647,0.9118,0.9412,0.9412,0.9412,0.8343,0.8676,0.8971,0.8971,0.8971,0.2765,0.8522,0.8522,0.855
mminilm,20,11448,95.2,0.8,0.7647,0.8824,0.9118,0.9118,0.9118,0.8196,0.8529,0.8824,0.8824,0.8824,0.2647,0.833,0.833,0.1055
mminilm,40,11448,95.2,0.8,0.7941,0.9118,0.9118,0.9118,0.9118,0.8431,0.8824,0.8971,0.8971,0.8971,0.2647,0.8547,0.8547,0.1353
bge-m3,10,11448,95.2,0.8,0.8529,0.9118,0.9412,0.9412,0.9412,0.8848,0.8676,0.8971,0.8971,0.8971,0.3,0.886,0.886,2.2183
bge-m3,20,11448,95.2,0.5,0.7941,0.8529,0.9412,0.9412,0.9412,0.8456,0.8088,0.9118,0.9118,0.9118,0.2941,0.854,0.854,0.2298
bge-m3,40,11448,95.2,0.5,0.7941,0.8824,0.9118,0.9118,0.9118,0.8456,0.8382,0.8676,0.8676,0.8676,0.2824,0.8509,0.8509,0.4541
